序号,题干,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,解析,分数,答案,标签
125,宁波联合,镍,浙江-宁波,子公司宁波联合集团进出口股份有限公司拥有镍矿进出口业务,,,,,,,,ABCDEFGH,x9-有色金属
126,腾远钴业-300,镍,江西-赣州,产能扩充进行中，,,,,,,,,ABCDEFGH,x9-有色金属
127,中国中冶,镍,北京-朝阳,氢氧化镍钴产能4万吨，镍储量132万吨,,,,,,,,ABCDEFGH,x9-有色金属
128,博迁新材,镍,江苏-宿迁,镍粉市占率A股第一，市占率10.5%,,,,,,,,ABCDEFGH,x9-有色金属
129,贵研铂业,铂,云南-昆明,贵金属回收利用营收第一，70亿,,,,,,,,ABCDEFGH,x9-有色金属
130,浩通科技-300,铂,江苏-徐州,贵金属回收利用营收第二，12亿,,,,,,,,ABCDEFGH,x9-有色金属
131,有研新材,铂,北京-海淀,铂系列产品营收第二，58亿,,,,,,,,ABCDEFGH,x9-有色金属
132,凯立新材-688,铂,陕西-西安,铂系列产品营收第三，16亿,,,,,,,,ABCDEFGH,x9-有色金属
133,腾远钴业-300,钴,江西-赣州,钴产品营收占比第一，45%，钴产品营收25亿,,,,,,,,ABCDEFGH,x9-有色金属
134,寒锐钴业-300,钴,江苏-南京,钴产品营收第二，37%，钴产品营收17亿,,,,,,,,ABCDEFGH,x9-有色金属
135,华友钴业,钴,浙江-嘉兴,钴产品营收占比第三，6%，钴产品营收41%,,,,,,,,ABCDEFGH,x9-有色金属
136,洛阳钼业,钴,河南-洛阳,钴产品营收占比第五，1.83%，钴产品营收34亿,,,,,,,,ABCDEFGH,x9-有色金属
137,中国中铁,钴,北京-丰台,公司保有股资源储量60万吨,,,,,,,,ABCDEFGH,x9-有色金属
138,宝武镁业,镁,江苏-南京,原镁产能A股第一，10万吨/年,,,,,,,,ABCDEFGH,x9-有色金属
139,红星发展,锶,贵州-万顺,锶盐产能A股第一，9万吨；,,,,,,,,ABCDEFGH,x9-有色金属
140,金瑞矿业,锶,青海-西宁,锶盐产能A股第二，2万吨；公司大风山锶矿矿区面积约25平方公里,,,,,,,,ABCDEFGH,x9-有色金属
141,高能环境,铋,北京,精铋产量3548吨，全球市占率22%,,,,,,,,ABCDEFGH,x9-有色金属
142,钒钛股份,钒,四川-攀枝花,钒制品营收A股第一，63亿,,,,,,,,ABCDEFGH,x9-有色金属
143,河钢股份,钒,河北-石家庄,钒制品营收A股第二，14.7亿,,,,,,,,ABCDEFGH,x9-有色金属
144,东方锆业,锆,广东-汕头,锆金属营收A股第一，13亿,,,,,,,,ABCDEFGH,x9-有色金属
145,三祥新材,锆,福建-宁德,锆金属营收A股第二，7.75亿,,,,,,,,ABCDEFGH,x9-有色金属
146,中金岭南,稼,广东-深圳,公司保有稼储量760吨,,,,,,,,ABCDEFGH,x9-有色金属
147,争光股份-300,稼,浙江-杭州,公司有不同工艺的提稼树脂,,,,,,,,ABCDEFGH,x9-有色金属
